Reaction_No,Reactant_1_Name,Reactant_1_Short_Hand,Reactant_1_eq,Reactant_1_mmol,Reactant_2_Name,Reactant_2_eq,Catalyst_1_Short_Hand,Catalyst_1_eq,Ligand_Short_Hand,Ligand_eq,Reagent_1_Short_Hand,Reagent_1_eq,Solvent_1_Short_Hand,Product_Yield_PCT_Area_UV,Product_Yield_Mass_Ion_Count,Reactant_1_Name_SMILES,Reactant_1_Short_Hand_SMILES,Reactant_2_Name_SMILES,Catalyst_1_Short_Hand_SMILES,Ligand_Short_Hand_SMILES,Reagent_1_Short_Hand_SMILES,Solvent_1_Short_Hand_SMILES,Reactant_1_SMILES
1,6-chloroquinoline,6-Cl-Q,1,0.0004,Boronic Acid,1,Pd(OAc)2,0.0625,P(tBu)3,0.125,NaOH,2.5,MeCN,4.76410921845962,6262.058821813955,Clc1ccc2ncccc2c1,Clc1ccc2ncccc2c1,OBO,[Pd](|OC(C)=O)|OC(C)=O,CC(C)(C)P(CC(C)C)CC(C)C,[OH-].[Na+],CC#N,Clc1ccc2ncccc2c1
2,6-chloroquinoline,6-Cl-Q,1,0.0004,Boronic Acid,1,Pd(OAc)2,0.0625,P(Ph)3,0.125,NaOH,2.5,MeCN,4.12096203597114,13245.57090855121,Clc1ccc2ncccc2c1,Clc1ccc2ncccc2c1,OBO,[Pd](|OC(C)=O)|OC(C)=O,P(c1ccccc1)(c1ccccc1)c1ccccc1,[OH-].[Na+],CC#N,Clc1ccc2ncccc2c1
3,6-chloroquinoline,6-Cl-Q,1,0.0004,Boronic Acid,1,Pd(OAc)2,0.0625,AmPhos,0.125,NaOH,2.5,MeCN,2.58383665286105,3009.1659457901496,Clc1ccc2ncccc2c1,Clc1ccc2ncccc2c1,OBO,[Pd](|OC(C)=O)|OC(C)=O,CC(N)Cc1ccccc1.O[P](O)(O)=O,[OH-].[Na+],CC#N,Clc1ccc2ncccc2c1
4,6-chloroquinoline,6-Cl-Q,1,0.0004,Boronic Acid,1,Pd(OAc)2,0.0625,P(Cy)3,0.125,NaOH,2.5,MeCN,4.44317065372505,30860.698262181253,Clc1ccc2ncccc2c1,Clc1ccc2ncccc2c1,OBO,[Pd](|OC(C)=O)|OC(C)=O,P(C1CCCCC1)(C1CCCCC1)C1CCCCC1,[OH-].[Na+],CC#N,Clc1ccc2ncccc2c1
5,6-chloroquinoline,6-Cl-Q,1,0.0004,Boronic Acid,1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,NaOH,2.5,MeCN,1.94987400815928,2486.306422970617,Clc1ccc2ncccc2c1,Clc1ccc2ncccc2c1,OBO,[Pd](|OC(C)=O)|OC(C)=O,P(c1ccccc1C)(c1ccccc1C)c1ccccc1C,[OH-].[Na+],CC#N,Clc1ccc2ncccc2c1
6,6-chloroquinoline,6-Cl-Q,1,0.0004,Boronic Acid,1,Pd(OAc)2,0.0625,CataCXium A,0.125,NaOH,2.5,MeCN,3.25080927899943,9592.454299772224,Clc1ccc2ncccc2c1,Clc1ccc2ncccc2c1,OBO,[Pd](|OC(C)=O)|OC(C)=O,CC1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3,[OH-].[Na+],CC#N,Clc1ccc2ncccc2c1
7,6-chloroquinoline,6-Cl-Q,1,0.0004,Boronic Acid,1,Pd(OAc)2,0.0625,SPhos,0.125,NaOH,2.5,MeCN,86.2621224841378,108343.14193028909,Clc1ccc2ncccc2c1,Clc1ccc2ncccc2c1,OBO,[Pd](|OC(C)=O)|OC(C)=O,COc1ccccc1-c2ccccc2P(c3ccccc3)c4ccccc4,[OH-].[Na+],CC#N,Clc1ccc2ncccc2c1
8,6-chloroquinoline,6-Cl-Q,1,0.0004,Boronic Acid,1,Pd(OAc)2,0.0625,dtbpf,0.125,NaOH,2.5,MeCN,7.54607987344501,9373.40334717397,Clc1ccc2ncccc2c1,Clc1ccc2ncccc2c1,OBO,[Pd](|OC(C)=O)|OC(C)=O,CC(C)(C)C1=CC=C(C(C)(C)C)C=C1P(C2=CC=C(C(C)(C)C)C=C2)C3=CC=C(C(C)(C)C)C=C3,[OH-].[Na+],CC#N,Clc1ccc2ncccc2c1
9,6-chloroquinoline,6-Cl-Q,1,0.0004,Boronic Acid,1,Pd(OAc)2,0.0625,XPhos,0.125,NaOH,2.5,MeCN,93.6745145376158,27239.202785752022,Clc1ccc2ncccc2c1,Clc1ccc2ncccc2c1,OBO,[Pd](|OC(C)=O)|OC(C)=O,CC(C)(C)C1=CC=C(C(C)(C)C)C=C1P(c2ccccc2)c3ccccc3,[OH-].[Na+],CC#N,Clc1ccc2ncccc2c1
10,6-chloroquinoline,6-Cl-Q,1,0.0004,Boronic Acid,1,Pd(OAc)2,0.0625,dppf,0.125,NaOH,2.5,MeCN,14.3214354734956,7746.462857488274,Clc1ccc2ncccc2c1,Clc1ccc2ncccc2c1,OBO,[Pd](|OC(C)=O)|OC(C)=O,[Fe]|1|2|3|4|5|6|7|8(|[CH-]9[CH-]|1[CH-]|2[C-]|3([CH-]|49)P(c%10ccccc%10)c%11ccccc%11)|C%12=C|5[C-]|6(C|7=C|8%12)P(c%13ccccc%13)c%14ccccc%14,[OH-].[Na+],CC#N,Clc1ccc2ncccc2c1
